trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.05, 'e': 0.61}",25,0,-74.29511591122834,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.05, 'e': 0.605}",20,0,-146.87174328987584,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
80,False,"{'a': 0.05, 'e': 0.6}",25,6,-85.35249504354482,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
81,False,"{'a': 0.05, 'e': 0.595}",20,10,17.947615795389527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.05, 'e': 0.59}",20,0,-60.31125284103188,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
83,False,"{'a': 0.05, 'e': 0.585}",25,2,-17.539151970427852,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.05, 'e': 0.5800000000000001}",25,0,-91.70075989039123,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
85,False,"{'a': 0.05, 'e': 0.575}",20,16,7.658246895002206,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.05, 'e': 0.5700000000000001}",30,0,-79.75855027223575,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",1
87,False,"{'a': 0.05, 'e': 0.565}",20,0,-26.95148583018607,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
88,False,"{'a': 0.05, 'e': 0.56}",20,16,8.305191357659046,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.05, 'e': 0.5549999999999999}",20,9,9.796705903934376,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.05, 'e': 0.55}",25,11,7.397826541437478,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.05, 'e': 0.5449999999999999}",30,10,-67.90455045692622,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",1
92,False,"{'a': 0.05, 'e': 0.54}",20,0,-110.19350360249427,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
93,False,"{'a': 0.05, 'e': 0.5349999999999999}",30,18,-68.31987227291508,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
94,False,"{'a': 0.05, 'e': 0.53}",25,0,14.368538835736697,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.05, 'e': 0.5249999999999999}",25,10,2.1050591513212282,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.05, 'e': 0.52}",20,1,-40.080257283739556,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.05, 'e': 0.515}",25,3,-71.92697955621645,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
98,False,"{'a': 0.05, 'e': 0.51}",25,13,7.924050786763102,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.05, 'e': 0.505}",20,10,16.230555601925072,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
