trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.05, 'e': 0.2209099779593782}",35,2,-33.5928229615721,"{0: 29, 1: 0, 2: 2, 3: 1, 4: 1}",1
152,False,"{'a': 0.05, 'e': 0.21871188695221475}",20,14,12.914298464531573,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.05, 'e': 0.21653566731600707}",20,13,5.520969412399928,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.05, 'e': 0.21438110142697794}",25,14,19.703950408030796,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.05, 'e': 0.21224797382674304}",35,15,35.85050593774246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.05, 'e': 0.21013607120076472}",30,4,38.61208160908783,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.05, 'e': 0.20804518235702046}",25,3,-64.85117686838265,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
158,False,"{'a': 0.05, 'e': 0.20597509820488344}",20,13,5.153393143541372,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.05, 'e': 0.20392561173421342}",20,10,15.96385684363112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.05, 'e': 0.20189651799465538}",30,11,14.76212627560677,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.05, 'e': 0.1998876140751445}",20,14,0.12456881252115015,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.05, 'e': 0.19789869908361465}",35,13,-2.3097355303627625,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.05, 'e': 0.19592957412690934}",25,19,13.33825093746367,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
